postcode,placeName
63067,Frankfurt am Main
50779,Cologne
51101,Cologne
50667,Cologne
50668,Cologne
50670,Cologne
50672,Cologne
50674,Cologne
50676,Cologne
50677,Cologne
50678,Cologne
50679,Cologne
50733,Cologne
50735,Cologne
50737,Cologne
50739,Cologne
50765,Cologne
50767,Cologne
50769,Cologne
50823,Cologne
50825,Cologne
50827,Cologne
50829,Cologne
50858,Cologne
50859,Cologne
50931,Cologne
50933,Cologne
50935,Cologne
50937,Cologne
50939,Cologne
50968,Cologne
50969,Cologne
50996,Cologne
50997,Cologne
50999,Cologne
51061,Cologne
51063,Cologne
51065,Cologne
51067,Cologne
51069,Cologne
51103,Cologne
51105,Cologne
51107,Cologne
51109,Cologne
51143,Cologne
51145,Cologne
51147,Cologne
51149,Cologne
40629,Düsseldorf
40211,Düsseldorf
40212,Düsseldorf
40213,Düsseldorf
40215,Düsseldorf
40217,Düsseldorf
40219,Düsseldorf
40221,Düsseldorf
40223,Düsseldorf
40225,Düsseldorf
40227,Düsseldorf
40229,Düsseldorf
40231,Düsseldorf
40233,Düsseldorf
40235,Düsseldorf
40237,Düsseldorf
40239,Düsseldorf
40468,Düsseldorf
40470,Düsseldorf
40472,Düsseldorf
40474,Düsseldorf
40476,Düsseldorf
40477,Düsseldorf
40479,Düsseldorf
40489,Düsseldorf
40545,Düsseldorf
40547,Düsseldorf
40549,Düsseldorf
40589,Düsseldorf
40591,Düsseldorf
40593,Düsseldorf
40595,Düsseldorf
40597,Düsseldorf
40599,Düsseldorf
40625,Düsseldorf
40627,Düsseldorf
40210,Düsseldorf
4103,Leipzig
4105,Leipzig
4107,Leipzig
4109,Leipzig
4129,Leipzig
4155,Leipzig
4157,Leipzig
4159,Leipzig
4177,Leipzig
4179,Leipzig
4205,Leipzig
4207,Leipzig
4209,Leipzig
4229,Leipzig
4249,Leipzig
4275,Leipzig
4277,Leipzig
4279,Leipzig
4288,Leipzig
4289,Leipzig
4299,Leipzig
4315,Leipzig
4316,Leipzig
4317,Leipzig
4318,Leipzig
4319,Leipzig
4329,Leipzig
4347,Leipzig
4349,Leipzig
4356,Leipzig
4357,Leipzig
4416,Leipzig
4425,Leipzig
4435,Leipzig
4442,Leipzig
4451,Leipzig
4463,Leipzig
4519,Leipzig
4523,Leipzig
4824,Leipzig
90402,Nurnberg
90403,Nurnberg
90408,Nurnberg
90409,Nurnberg
90411,Nurnberg
90419,Nurnberg
90425,Nurnberg
90427,Nurnberg
90429,Nurnberg
90431,Nurnberg
90439,Nurnberg
90441,Nurnberg
90443,Nurnberg
90449,Nurnberg
90451,Nurnberg
90453,Nurnberg
90455,Nurnberg
90459,Nurnberg
90461,Nurnberg
90469,Nurnberg
90471,Nurnberg
90473,Nurnberg
90475,Nurnberg
90478,Nurnberg
90480,Nurnberg
90482,Nurnberg
90489,Nurnberg
90491,Nurnberg
1067,Dresden
1069,Dresden
1097,Dresden
1099,Dresden
1108,Dresden
1109,Dresden
1127,Dresden
1129,Dresden
1139,Dresden
1156,Dresden
1157,Dresden
1159,Dresden
1169,Dresden
1187,Dresden
1189,Dresden
1217,Dresden
1219,Dresden
1237,Dresden
1239,Dresden
1257,Dresden
1259,Dresden
1277,Dresden
1279,Dresden
1307,Dresden
1309,Dresden
1324,Dresden
1326,Dresden
1328,Dresden
1465,Dresden
70173,Stuttgart
70174,Stuttgart
70176,Stuttgart
70178,Stuttgart
70180,Stuttgart
70182,Stuttgart
70184,Stuttgart
70186,Stuttgart
70188,Stuttgart
70190,Stuttgart
70191,Stuttgart
70192,Stuttgart
70193,Stuttgart
70195,Stuttgart
70197,Stuttgart
70199,Stuttgart
70327,Stuttgart
70329,Stuttgart
70372,Stuttgart
70374,Stuttgart
70376,Stuttgart
70378,Stuttgart
70435,Stuttgart
70437,Stuttgart
70439,Stuttgart
70469,Stuttgart
70499,Stuttgart
70563,Stuttgart
70565,Stuttgart
70567,Stuttgart
70569,Stuttgart
70597,Stuttgart
70599,Stuttgart
70619,Stuttgart
70629,Stuttgart
